,LAT,LONG,color
ATL,33.757614,-84.400972,#A71930
AZ,33.5277,-112.262608,#97233F
BAL,39.277969,-76.622767,#241773
BUF,42.773739,-78.786978,#00338D
CAR,35.225808,-80.852861,#0085CA
CHI,41.862306,-87.616672,#C83803
CIN,39.095442,-84.516039,#FB4F14
CLE,41.506022,-81.699564,#311D00
DAL,32.747778,-97.092778,#041E42
DEN,39.743936,-105.020097,#FB4F14
DET,42.340156,-83.045808,#0076B6
GB,44.501306,-88.062167,#203731
HOU,29.684781,-95.410956,#A71930
IND,39.760056,-86.163806,#002C5F
JAX,30.323925,-81.637356,#006778
KC,39.048914,-94.484039,#E31837
LAC,33.864,-118.261,#0080C6
LAR,34.014167,-118.287778,#002244
MIA,25.957919,-80.238842,#008E97
MIN,44.973881,-93.258094,#4F2683
NE,42.090925,-71.26435,#002244
NO,29.950931,-90.081364,#D3BC8D
NYG,40.812194,-74.076983,#0B2265
NYJ,40.812194,-74.076983,#003F2D
OAK,37.751411,-122.200889,#000000
PHI,39.900775,-75.167453,#004C54
PIT,40.446786,-80.015761,#FFB612
SEA,47.595153,-122.331625,#69BE28
SF,37.713486,-122.386256,#B3995D
TB,27.975967,-82.50335,#D50A0A
TEN,36.166461,-86.771289,#4495D1
WAS,38.907697,-76.864517,#773141